Total score,1. What is your age?,1. What is your age? [Score],1. What is your age? [Feedback],2. What is your gender?,2. What is your gender? [Score],2. What is your gender? [Feedback],3. What is your highest education?,3. What is your highest education? [Score],3. What is your highest education? [Feedback],4. What is your marital status?,4. What is your marital status? [Score],4. What is your marital status? [Feedback],5. What is your monthly income? (Monthly allowance if you are not working) (in million VND),5. What is your monthly income? (Monthly allowance if you are not working) (in million VND) [Score],5. What is your monthly income? (Monthly allowance if you are not working) (in million VND) [Feedback],6. What is the total monthly amount you spend? (in million VND),6. What is the total monthly amount you spend? (in million VND) [Score],6. What is the total monthly amount you spend? (in million VND) [Feedback]
0.00 / 0,22,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Single,-- / 0,,11,-- / 0,,6.5,-- / 0,
0.00 / 0,26,-- / 0,,Female,-- / 0,,Master,-- / 0,,Together,-- / 0,,35,-- / 0,,12,-- / 0,
0.00 / 0,31,-- / 0,,Male,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,20,-- / 0,,15.5,-- / 0,
0.00 / 0,26,-- / 0,,Male,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,10,-- / 0,,8.5,-- / 0,
0.00 / 0,21,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Single,-- / 0,,4,-- / 0,,4,-- / 0,
0.00 / 0,33,-- / 0,,Female,-- / 0,,Master,-- / 0,,Divorced,-- / 0,,33,-- / 0,,27,-- / 0,
0.00 / 0,29,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,16,-- / 0,,10.5,-- / 0,
0.00 / 0,28,-- / 0,,Male,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,20,-- / 0,,13.5,-- / 0,
0.00 / 0,30,-- / 0,,Male,-- / 0,,PhD or higher,-- / 0,,Married,-- / 0,,35,-- / 0,,20,-- / 0,
0.00 / 0,25,-- / 0,,Female,-- / 0,,Undergraduate,-- / 0,,Married,-- / 0,,12,-- / 0,,5,-- / 0,
0.00 / 0,34,-- / 0,,Male,-- / 0,,Master,-- / 0,,Married,-- / 0,,40,-- / 0,,26.8,-- / 0,
0.00 / 0,25,-- / 0,,Female,-- / 0,,Master,-- / 0,,Married,-- / 0,,25,-- / 0,,20,-- / 0,
